Locus_tag	caec-3-291	caec-3-292	caec-3-293	caec-3-294	caec-3-295	caec-4-291	caec-4-292	caec-4-294	caec-6-141	caec-8-141	caec-8-142	caec-8-143	Bw1	Bw2	Bw3	Class_curated	Subsystem Name	Product PATRIC											
WCP94_001027	497	659	78	543	511	138	55	241	78	64	252	66	2877	5234	4919	#N/A	#N/A	hypothetical protein											
WCP94_001028	20	36	4	55	59	7	1	34	6	7	10	2	52	150	123	#N/A	#N/A	branched-chain amino acid transport											
WCP94_001029	79	72	13	155	111	8	16	49	11	8	29	7	330	709	609	#N/A	#N/A	AzlC family protein											
WCP94_001030	19	14	2	34	16	2	0	7	0	3	12	2	23	73	52	#N/A	#N/A	#N/A											
WCP94_001031	153	132	17	245	192	50	20	113	20	18	78	15	368	698	691	#N/A	#N/A	Na+/H+ antiporter NhaC											
WCP94_001032	50	64	5	170	91	13	20	70	16	10	52	19	173	300	247	#N/A	#N/A	hypothetical protein											
WCP94_001033	490	330	41	512	361	102	64	447	69	28	176	77	398	686	710	"Stress Response, Defense and Virulence"	ZraPRS-based zinc resistance	Response regulator of zinc sigma-54-dependent two-component system											
WCP94_001034	465	405	146	2135	1453	173	143	1009	123	96	290	201	384	749	595	#N/A	#N/A	Sensory box histidine kinase/response regulator											
WCP94_001035	529	345	47	1280	984	196	122	1408	96	76	269	105	558	969	840	#N/A	#N/A	hypothetical protein											
WCP94_001036	14	11	3	46	18	2	1	68	0	8	10	0	12	24	22	#N/A	#N/A	#N/A											
WCP94_001037	15	14	5	61	24	6	4	126	7	4	5	1	5	3	3	#N/A	#N/A	#N/A											
WCP94_001038	21	27	8	102	85	12	5	170	2	5	7	3	30	43	36	#N/A	#N/A	#N/A											
WCP94_001039	3937	2645	604	7152	6690	940	794	10989	444	390	1850	685	2158	3939	3698	#N/A	#N/A	diguanylate cyclase/phosphodiesterase (GGDEF &amp; EAL domains) with PAS/PAC sensor(s)											
WCP94_001040	0	0	0	5	4	0	0	4	2	0	2	4	14	18	27	#N/A	#N/A	#N/A											
WCP94_001041	107	231	43	407	356	32	33	58	28	15	77	24	199	320	349	#N/A	#N/A	Uncharacterized MFS-type transporter											
WCP94_001042	4	10	0	36	11	0	2	3	1	0	2	2	15	23	21	#N/A	#N/A	#N/A											
WCP94_001043	1360	1142	150	1390	1496	311	306	484	244	115	671	113	2053	3901	3387	#N/A	#N/A	hypothetical protein											
WCP94_001044	1263	968	101	766	940	413	284	305	110	89	677	119	652	1459	1122	#N/A	#N/A	hypothetical protein											
WCP94_001045	1567	962	119	610	1064	421	286	370	172	86	557	82	459	1000	785	#N/A	#N/A	MoxR-like ATPases											
WCP94_001046	50	28	1	27	16	8	9	18	3	2	29	6	5	16	15	#N/A	#N/A	#N/A											
WCP94_001047	3074	1694	201	1396	1834	826	641	923	227	132	947	325	1113	2276	1973	#N/A	#N/A	hypothetical protein											
WCP94_001048	1163	523	59	425	618	277	182	427	78	48	299	95	437	935	819	#N/A	#N/A	#N/A											
WCP94_001049	613	590	89	654	606	207	171	502	75	45	441	65	2649	6247	4799	#N/A	#N/A	hypothetical protein											
WCP94_001050	138	73	6	133	64	43	18	107	26	7	84	18	1681	3829	2782	#N/A	#N/A	#N/A											
WCP94_001051	958	782	106	818	999	194	125	926	142	89	353	90	1847	3711	3345	#N/A	#N/A	Rhodanese domain protein											
WCP94_001052	5629	2793	511	3075	3051	879	594	2163	603	402	1337	387	1874	3358	3204	#N/A	#N/A	hypothetical protein											
WCP94_001053	7402	2584	954	2421	2421	4782	2397	4658	464	274	8080	1073	29808	59202	48126	"Stress Response, Defense and Virulence"	Protection from Reactive Oxygen Species	Cytochrome c551 peroxidase (EC 1.11.1.5)											
WCP94_001054	2	3	2	2	9	5	2	8	0	4	1	0	21	16	29	#N/A	#N/A	hypothetical protein											
WCP94_001055	130	141	14	159	120	68	42	69	18	20	88	27	192	325	294	#N/A	#N/A	hypothetical protein											
WCP94_001056	404	323	41	248	308	119	84	197	77	74	203	52	233	434	418	#N/A	#N/A	Two-component system response regulator protein											
WCP94_001057	87	81	12	58	39	23	16	42	23	12	49	16	48	73	38	#N/A	#N/A	#N/A											
WCP94_001058	354	368	40	298	355	139	101	185	64	52	215	93	280	445	409	#N/A	#N/A	Sensory box histidine kinase											
WCP94_001059	537	444	49	332	371	150	115	151	74	66	304	73	767	1230	1165	Membrane Transport	Potassium-transporting ATPase	Osmosensitive K+ channel histidine kinase KdpD											
WCP94_001060	48	23	2	34	30	21	12	18	2	4	18	6	61	159	118	Membrane Transport	Potassium-transporting ATPase	Potassium-transporting ATPase C chain (EC 3.6.3.12) (TC 3.A.3.7.1)											
WCP94_001061	221	164	33	222	173	94	34	94	36	27	142	74	837	1667	1272	Membrane Transport	Potassium-transporting ATPase	Potassium-transporting ATPase B chain (EC 3.6.3.12) (TC 3.A.3.7.1)											
WCP94_001062	1	1	0	0	0	0	0	0	0	0	0	0	0	3	4	#N/A	#N/A	#N/A											
WCP94_001063	81	21	16	110	46	40	18	39	16	15	26	8	254	479	418	Membrane Transport	Potassium-transporting ATPase	Potassium-transporting ATPase A chain (EC 3.6.3.12) (TC 3.A.3.7.1)											
WCP94_001064	0	0	0	0	0	0	0	2	0	0	2	0	0	1	1	#N/A	#N/A	#N/A											
WCP94_001065	2	3	0	0	3	0	3	7	0	0	2	0	8	12	8	#N/A	#N/A	#N/A											
WCP94_001066	1473	1076	148	948	1231	370	200	481	197	105	646	153	1581	2869	2608	#N/A	#N/A	hypothetical protein											
WCP94_001067	623	599	87	792	607	135	138	404	97	68	313	128	1291	2362	2107	#N/A	#N/A	Uncharacterized UPF0750 membrane protein											
WCP94_001068	394	274	61	620	496	117	99	239	73	35	268	78	1711	3724	3140	"Protein Fate (folding, modification, targeting, degradation)"	Peptide methionine sulfoxide reductase	Peptide-methionine (R)-S-oxide reductase MsrB (EC 1.8.4.12) / Peptide-methionine (S)-S-oxide reductase MsrA (EC 1.8.4.11)											
WCP94_001069	239	218	64	601	455	65	77	295	65	44	115	27	86	226	202	#N/A	#N/A	#N/A											
WCP94_001070	2547	2610	428	4970	4001	486	441	1428	696	382	827	410	732	1272	1078	Amino Acids and Derivatives	Histidine Biosynthesis -- gjo	Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase (EC 5.3.1.16)											
WCP94_001071	1654	1408	267	2501	2428	311	285	1083	375	225	566	217	216	591	440	#N/A	#N/A	putative lipoprotein											
WCP94_001072	952	1254	270	2400	1973	193	246	1140	316	211	478	194	256	569	467	Amino Acids and Derivatives	Histidine Biosynthesis -- gjo	Imidazoleglycerol-phosphate dehydratase (EC 4.2.1.19)											
WCP94_001073	2453	2929	718	5421	5094	561	601	2795	673	499	1136	506	702	1525	1329	"Protein Fate (folding, modification, targeting, degradation)"	Twin-arginine translocation system	Twin-arginine translocation protein TatC											
WCP94_001074	2687	2315	519	3816	3484	612	515	1479	494	319	1139	448	733	1710	1431	"Protein Fate (folding, modification, targeting, degradation)"	Twin-arginine translocation system	Twin-arginine translocation protein TatB											
WCP94_001075	8537	9389	1927	15953	15942	2088	1946	8298	2251	1442	4082	1818	2150	5184	4134	Nucleosides and Nucleotides	DeNovo Purine Biosynthesis	"GMP synthase [glutamine-hydrolyzing], amidotransferase subunit (EC 6.3.5.2) / GMP synthase [glutamine-hydrolyzing], ATP pyrophosphatase subunit (EC 6.3.5.2)"											
WCP94_001076	10757	7836	1709	11772	11913	2194	1862	9643	1819	1218	4023	1589	5651	10521	9226	Nucleosides and Nucleotides	IMP and Xanthine conversion to XMP and GMP module	Inosine-5'-monophosphate dehydrogenase (EC 1.1.1.205) / CBS domain											
WCP94_001077	18	22	0	35	9	2	10	8	1	0	8	1	22	37	35	#N/A	#N/A	#N/A											
WCP94_001078	10018	4038	846	3691	2834	2238	934	1766	968	602	3406	641	5628	10784	10242	"Stress Response, Defense and Virulence"	Universal stress protein family	Universal stress protein family											
WCP94_001079	1473	1428	244	2628	2223	534	581	1759	389	251	925	399	453	1003	790	#N/A	#N/A	#N/A											
WCP94_001080	357	349	58	721	658	172	172	643	49	63	259	100	87	236	175	#N/A	#N/A	#N/A											
WCP94_001081	3546	2382	464	5170	4205	1525	1306	3884	570	551	2509	1057	911	1906	1699	RNA Processing	"RNA processing and degradation, bacterial"	3'-to-5' exoribonuclease RNase R											
WCP94_001082	123	66	12	118	56	58	18	156	11	12	104	17	39	71	79	#N/A	#N/A	#N/A											
WCP94_001083	168	128	23	317	188	32	47	165	21	19	123	61	165	311	315	#N/A	#N/A	"Transcriptional regulator, HxlR family"											
WCP94_001084	479	242	52	485	326	132	101	328	61	29	321	43	165	378	292	#N/A	#N/A	Iron-sulfur flavoprotein											
WCP94_001085	448	394	91	858	876	162	190	608	97	98	289	142	254	428	365	"Cell Envelope, Capsule and Slime layer"	KDO2-Lipid A biosynthesis	Tetraacyldisaccharide 4'-kinase (EC 2.7.1.130)											
WCP94_001086	84	153	13	216	191	22	22	120	36	21	48	10	48	45	47	#N/A	#N/A	#N/A											
WCP94_001087	1301	1102	160	1224	1258	358	258	1333	275	146	612	124	677	1391	1182	"Cofactors, Vitamins, Prosthetic Groups"	Coenzyme A -- gjo	Pantoate--beta-alanine ligase (EC 6.3.2.1)											
WCP94_001088	1415	1298	147	1280	1350	359	281	1510	252	159	678	209	1048	1681	1513	"Cofactors, Vitamins, Prosthetic Groups"	Coenzyme A Biosynthesis cluster	3-methyl-2-oxobutanoate hydroxymethyltransferase(EC 2.1.2.11)											
WCP94_001089	2	0	0	4	0	0	1	4	0	0	2	1	1	3	2	#N/A	#N/A	#N/A											
WCP94_001090	2954	1512	242	1368	1618	798	342	1589	331	191	1209	351	1036	2041	1714	#N/A	#N/A	UDP-N-acetylglucosaminuronic acid 4-epimerase (EC 5.1.3.7)											
WCP94_001091	59	54	33	317	101	11	20	202	16	13	48	13	157	316	241	#N/A	#N/A	NA											
WCP94_001092	33	15	11	150	44	7	7	106	3	11	28	7	33	75	63	#N/A	#N/A	hypothetical protein											
WCP94_001093	49	42	11	91	51	15	10	68	17	9	14	9	33	60	77	#N/A	#N/A	hypothetical protein											
WCP94_001094	15	14	4	38	42	0	10	24	5	0	14	5	631	988	836	#N/A	#N/A	hypothetical protein											
WCP94_001095	155	106	24	230	216	313	80	222	31	10	816	16	130	247	186	#N/A	#N/A	hypothetical protein											
WCP94_001096	476	172	23	248	190	1040	180	226	44	24	4387	79	461	676	597	#N/A	#N/A	Putative PQQ enzyme repeat											
WCP94_001097	444	254	28	187	175	75	45	182	39	30	163	27	409	790	630	#N/A	#N/A	#N/A											
WCP94_001098	710	337	90	384	459	439	146	489	54	36	1297	79	138	187	187	#N/A	#N/A	hypothetical protein											
WCP94_001099	661	411	75	491	589	341	163	535	157	47	1007	65	113	186	176	Carbohydrates	Photorespiration (oxidative C2 cycle)	Dihydrolipoamide dehydrogenase (EC 1.8.1.4)											
WCP94_001100	174	115	28	108	151	67	34	155	46	16	219	8	35	39	43	Amino Acids and Derivatives	Glycine cleavage system	Glycine cleavage system H protein											
WCP94_001101	640	521	90	648	682	178	169	424	100	61	344	108	1098	1969	1801	"Fatty Acids, Lipids, and Isoprenoids"	Glycerolipid and Glycerophospholipid Metabolism in Bacteria	Alcohol dehydrogenase (EC 1.1.1.1)											
WCP94_001102	196	204	34	275	303	47	47	203	18	39	91	25	490	1021	853	#N/A	#N/A	ATPase component NikO of energizing module of nickel ECF transporter											
WCP94_001103	131	158	28	262	254	31	38	154	27	35	85	30	368	781	654	#N/A	#N/A	Transmembrane component NikQ of energizing module of nickel ECF transporter											
WCP94_001104	245	247	52	345	307	51	43	199	28	33	119	52	598	1037	920	#N/A	#N/A	Additional component NikL of nickel ECF transporter											
WCP94_001105	242	204	26	239	245	73	43	194	34	38	148	66	418	775	678	#N/A	#N/A	Substrate-specific component NikM of nickel ECF transporter											
WCP94_001106	141	125	18	132	117	42	32	80	17	13	57	38	437	794	728	#N/A	#N/A	#N/A											
WCP94_001107	610	425	73	452	363	161	115	304	61	59	335	72	4164	8062	7031	#N/A	#N/A	Additional periplasmic component NikK of nickel ECF transporter											
WCP94_001108	166	35	7	52	33	21	21	68	19	6	41	17	137	317	269	#N/A	#N/A	hypothetical protein											
WCP94_001109	4701	1021	74	471	522	1031	678	682	224	118	1881	453	9338	18148	17146	"Stress Response, Defense and Virulence"	Universal stress protein family	Universal stress protein family											
WCP94_001110	910	806	124	927	903	473	329	911	146	128	717	201	836	1711	1510	#N/A	#N/A	"RND efflux system, inner membrane transporter"											
WCP94_001111	31	44	3	49	22	13	8	38	6	5	26	5	25	99	67	#N/A	#N/A	#N/A											
WCP94_001112	587	385	59	526	428	145	153	407	72	42	334	82	1318	2449	1957	#N/A	#N/A	"RND efflux system, membrane fusion protein"											
WCP94_001113	440	306	53	460	452	72	82	207	55	70	115	85	391	711	650	#N/A	#N/A	L-asparaginase (EC 3.5.1.1)											
WCP94_001114	47	66	22	100	85	9	14	52	20	4	15	12	75	223	148	#N/A	#N/A	#N/A											
WCP94_001115	446	397	51	515	491	131	100	251	94	56	118	43	348	698	513	#N/A	#N/A	Acetamidase (EC 3.5.1.4)											
WCP94_001116	1899	1233	274	1543	1099	361	258	955	382	228	513	247	604	1464	1126	#N/A	#N/A	Putrescine importer											
WCP94_001117	1529	912	168	887	955	352	294	759	215	93	743	173	1559	2789	2381	#N/A	#N/A	Acetamidase (EC 3.5.1.4)											
WCP94_001118	4	18	1	9	7	1	1	15	1	0	5	4	26	33	29	#N/A	#N/A	#N/A											
WCP94_001119	191	222	39	307	250	55	25	196	45	30	66	27	311	565	481	#N/A	#N/A	Permease of the drug/metabolite transporter (DMT) superfamily											
WCP94_001120	8265	7247	1475	10672	9155	1718	1116	4254	1597	961	3421	1786	1987	3369	3239	#N/A	#N/A	hypothetical protein											
WCP94_001121	47	48	40	698	179	22	40	252	40	56	102	60	56	50	61	#N/A	#N/A	#N/A											
WCP94_001122	78	192	45	1294	763	20	115	402	78	139	105	126	93	91	90	#N/A	#N/A	hypothetical protein											
WCP94_001123	101	235	59	358	290	21	24	243	22	58	46	17	220	302	283	#N/A	#N/A	#N/A											
WCP94_001124	12247	8501	1458	9656	10339	3152	2338	8465	1998	1206	5119	1276	8784	16628	14189	Amino Acids and Derivatives	Peptidase clustering with DAP	Aspartokinase (EC 2.7.2.4)											
WCP94_001125	160	278	28	294	364	32	34	122	54	46	101	22	159	297	273	RNA Processing	YrdC-YciO-Sua5 and associated protein families	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE											
WCP94_001126	1	10	0	9	13	0	1	7	1	8	2	2	21	73	41	#N/A	#N/A	#N/A											
WCP94_001127	18911	26766	4859	41420	41906	4615	4467	23577	6740	4185	10773	4237	12261	21943	20838	RNA Processing	RNA pseudouridine synthases	tRNA pseudouridine(55) synthase (EC 5.4.99.25)											
WCP94_001128	7156	10916	1827	16148	11990	1749	1748	7473	2475	1619	4379	1518	3119	5949	5583	Amino Acids and Derivatives	Peptidase clustering with DAP	SSU ribosomal protein S15p (S13e)											
WCP94_001129	40210	44773	7523	69677	52152	7946	7740	28804	12711	6985	20463	9759	7590	17797	14080	RNA Processing	"RNA processing and degradation, bacterial"	Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8)											
WCP94_001130	25	36	7	97	26	2	6	57	3	12	8	3	11	33	24	#N/A	#N/A	#N/A											
WCP94_001131	1554	1163	273	3158	2546	474	412	2683	203	130	1161	298	6241	12588	10378	#N/A	#N/A	Type IV pilus biogenesis protein PilM											
WCP94_001132	114	150	40	398	301	42	31	352	44	30	102	19	118	261	229	#N/A	#N/A	hypothetical protein											
WCP94_001133	177	145	33	542	300	47	37	234	44	29	123	31	67	144	160	#N/A	#N/A	hypothetical protein											
WCP94_001134	880	758	139	1478	1306	319	219	944	133	126	556	191	278	550	459	#N/A	#N/A	Type IV pilus biogenesis protein PilQ											
WCP94_001135	785	857	143	1742	1352	240	223	807	161	114	446	111	250	587	545	#N/A	#N/A	"Type IV fimbrial assembly, ATPase PilB"											
WCP94_001136	397	468	62	929	776	95	96	453	85	38	165	52	131	252	250	#N/A	#N/A	Type IV fimbrial assembly protein PilC											
WCP94_001137	3330	4501	634	5407	5830	711	641	2401	823	402	1707	509	5643	9730	9400	#N/A	#N/A	#N/A											
WCP94_001138	4921	3760	724	4355	4219	1089	759	2234	853	431	2013	481	1935	3866	3050	Nucleosides and Nucleotides	De Novo Pyrimidine Synthesis	Carbamoyl-phosphate synthase small chain (EC 6.3.5.5)											
WCP94_001139	864	704	188	1306	1115	208	171	764	160	134	309	117	289	681	533	#N/A	#N/A	"Deacetylases, including yeast histone deacetylase and acetoin utilization protein"											
WCP94_001140	164	241	19	234	139	59	38	162	47	20	131	34	188	363	246	#N/A	#N/A	hypothetical protein											
WCP94_001141	571	477	63	400	365	412	249	393	83	155	683	233	594	1068	1083	#N/A	#N/A	#N/A											
WCP94_001142	743	1121	164	1557	1321	123	148	469	131	104	331	186	3630	5924	5221	"Protein Fate (folding, modification, targeting, degradation)"	Protein degradation	Leucyl/phenylalanyl-tRNA--protein transferase (EC 2.3.2.6)											
WCP94_001143	327	495	113	836	723	67	58	201	76	51	174	87	2917	5514	4736	#N/A	#N/A	putative membrane protein											
WCP94_001144	4980	3130	422	2750	2946	2117	1765	2616	477	342	4824	770	26950	57767	45448	#N/A	#N/A	ATP-dependent Clp protease ATP-binding subunit ClpA											
WCP94_001145	641	321	41	241	228	232	163	193	53	37	617	81	49281	89880	74947	#N/A	#N/A	ATP-dependent Clp protease adaptor protein ClpS											
WCP94_001146	1440	840	78	870	897	498	269	706	139	88	722	205	4116	6846	6488	DNA Processing	"DNA repair, bacterial"	DNA repair protein RadA											
WCP94_001147	890	1156	131	1203	1086	245	213	505	253	116	497	123	417	832	772	#N/A	#N/A	Potassium channel protein											
WCP94_001148	748	1133	115	967	1026	188	166	367	299	121	502	164	541	1020	803	Carbohydrates	GDP-fucose to mannose-1P module	Mannose-1-phosphate guanylyltransferase (EC 2.7.7.13) / Mannose-6-phosphate isomerase (EC 5.3.1.8)											
WCP94_001149	872	1103	164	1071	1067	272	278	560	206	136	438	155	630	1051	1055	#N/A	#N/A	General secretion pathway protein A											
WCP94_001150	591	520	77	576	651	138	151	294	136	84	308	109	478	745	877	#N/A	#N/A	Twitching motility protein PilT											
WCP94_001151	1212	862	160	966	865	224	191	411	216	86	499	126	8309	15362	13401	#N/A	#N/A	Leader peptidase (Prepilin peptidase) (EC 3.4.23.43) / N-methyltransferase (EC 2.1.1.-)											
WCP94_001152	308	373	38	466	410	102	66	266	58	48	263	55	379	674	594	#N/A	#N/A	hypothetical protein											
WCP94_001153	1215	596	79	845	637	400	256	757	157	108	765	157	4224	8807	7545	#N/A	#N/A	hypothetical protein											
WCP94_001154	403	187	18	302	283	119	119	341	47	43	281	80	215	441	352	#N/A	#N/A	hypothetical protein											
WCP94_001155	193	121	11	182	131	41	51	231	19	26	131	53	85	133	112	#N/A	#N/A	hypothetical protein											
WCP94_001156	248	136	28	307	299	51	61	342	18	29	171	44	180	308	205	#N/A	#N/A	hypothetical protein											
WCP94_001157	961	728	96	1041	803	219	207	1508	82	121	581	164	627	1080	907	#N/A	#N/A	hypothetical protein											
WCP94_001158	896	1507	198	2157	1979	247	302	821	257	223	550	210	628	1023	999	#N/A	#N/A	"Oligopeptide ABC transporter, ATP-binding protein OppF (TC 3.A.1.5.1)"											
WCP94_001159	1064	1605	156	1305	1172	274	263	820	296	225	551	223	1302	2325	2206	#N/A	#N/A	membrane protein involved in aromatic hydrocarbon degradation											
WCP94_001160	190	193	27	315	244	31	42	118	58	42	65	30	60	128	73	#N/A	#N/A	membrane protein involved in aromatic hydrocarbon degradation											
WCP94_001161	8	21	4	26	14	2	14	6	0	3	13	0	3	2	16	#N/A	#N/A	#N/A											
WCP94_001162	4265	3268	393	2965	2895	604	522	1643	692	358	1123	296	1790	3490	3089	#N/A	#N/A	ADP-L-glycero-D-manno-heptose-6-epimerase (EC 5.1.3.20)											
WCP94_001163	1853	2512	380	2553	2510	409	307	957	375	229	1006	273	1794	3582	2924	Amino Acids and Derivatives	Proline biosynthesis (for review)	Glutamate 5-kinase (EC 2.7.2.11) / RNA-binding C- terminal domain PUA											
WCP94_001164	1563	2491	551	6645	5577	473	699	1864	523	423	994	618	2559	4944	4238	Protein Synthesis	Universal GTPases	GTP-binding protein Obg											
WCP94_001165	412	689	163	1856	1793	99	196	825	162	126	290	123	257	614	511	#N/A	#N/A	hypothetical protein											
WCP94_001166	157	213	37	673	478	45	75	224	68	37	103	59	85	169	146	#N/A	#N/A	hypothetical protein											
WCP94_001167	9215	15597	2319	16248	17496	1419	1793	4763	2795	1489	3288	1241	2830	5635	4689	Protein Synthesis	"Ribosome LSU, bacterial"	LSU ribosomal protein L27p											
WCP94_001168	18414	25506	4635	31483	31099	2699	3246	9659	5692	3001	6396	2411	9108	16652	15748	Protein Synthesis	"Ribosome LSU, bacterial"	LSU ribosomal protein L21p											
WCP94_001169	43	54	12	80	46	13	6	40	4	17	32	9	51	68	60	#N/A	#N/A	#N/A											
WCP94_001170	989	538	111	359	399	438	232	195	143	95	1027	150	25468	46681	43478	#N/A	#N/A	#N/A											
WCP94_001171	1777	947	168	608	711	674	391	324	227	160	1523	255	15338	29769	27035	"Protein Fate (folding, modification, targeting, degradation)"	Chaperones GroEL GroES and Thermosome	Heat shock protein 10 kDa family chaperone GroES											
WCP94_001172	17955	9046	2256	6248	8758	8802	4837	4218	2165	1511	17277	2355	66891	155226	126224	"Protein Fate (folding, modification, targeting, degradation)"	Chaperones GroEL GroES and Thermosome	Heat shock protein 60 kDa family chaperone GroEL											
WCP94_001173	29	30	0	47	27	2	2	30	0	2	8	1	67	128	156	#N/A	#N/A	#N/A											
WCP94_001174	522	426	71	493	334	136	91	448	57	60	253	60	339	772	691	#N/A	#N/A	hypothetical protein											
WCP94_001175	1371	1271	182	1086	1004	387	185	619	272	136	517	221	496	1106	1009	#N/A	#N/A	isochorismatase family protein											
WCP94_001176	383	415	92	558	513	105	107	285	109	58	180	57	86	229	166	RNA Processing	YrdC-YciO-Sua5 and associated protein families	Peptide chain release factor N(5)-glutamine methyltransferase (EC 2.1.1.297)											
WCP94_001177	2674	2440	1340	4473	2965	1001	862	9929	485	426	2908	305	18396	30060	29461	"Cell Envelope, Capsule and Slime layer"	KDO2-Lipid A biosynthesis	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosaminedeacetylase (EC 3.5.1.108)											
WCP94_001178	402	205	94	581	235	372	283	1831	53	19	883	107	1005	1676	1609	#N/A	#N/A	Acetyltransferase											
WCP94_001179	314	154	96	501	297	261	181	1467	55	32	495	108	425	871	709	#N/A	#N/A	"Hydrolase, HAD superfamily"											
WCP94_001180	8482	4409	400	2488	3242	2130	1537	2755	789	524	4124	1137	10824	22384	18524	#N/A	#N/A	hypothetical protein											
WCP94_001181	6047	3958	598	4699	4603	1855	1472	3429	814	674	3598	891	7406	13991	12187	#N/A	#N/A	#N/A											
WCP94_001182	2442	1577	287	2090	1972	1007	931	1916	331	325	1342	481	1557	2888	2512	#N/A	#N/A	hypothetical protein											
WCP94_001183	10948	6137	1094	5291	6358	2399	1419	4763	1139	691	5111	1411	13284	26514	23194	#N/A	#N/A	Protein translocase subunit SecA											
WCP94_001184	1306	1264	143	919	1008	227	180	323	176	89	457	197	426	726	632	Respiration	NiFe hydrogenase maturation	[NiFe] hydrogenase metallocenter assembly protein HypE											
WCP94_001185	507	620	57	441	460	110	74	264	75	59	282	60	1921	4363	3449	#N/A	#N/A	Efflux pump antibiotic resistance protein											
WCP94_001186	63	38	3	49	21	17	6	61	16	4	59	4	84	151	107	#N/A	#N/A	"Acetyltransferase, GNAT family"											
WCP94_001187	116	147	6	69	93	28	37	73	13	21	53	16	652	1077	1011	#N/A	#N/A	hypothetical protein											
WCP94_001188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	#N/A	#N/A	#N/A											
WCP94_001189	4733	3730	665	4842	4078	1119	794	2959	955	547	2749	606	4118	7702	6698	Amino Acids and Derivatives	Arginine biosynthesis	Ornithine carbamoyltransferase (EC 2.1.3.3)											
WCP94_001190	1303	1546	322	3298	2819	318	290	3535	287	181	707	261	1273	2638	2191	#N/A	#N/A	Multimeric flavodoxin WrbA											
WCP94_001191	1108	998	250	2890	2135	376	310	2703	303	178	649	196	498	1240	1022	"Cofactors, Vitamins, Prosthetic Groups"	Biotin synthesis cluster	"Competence protein F homolog, phosphoribosyltransferase domain; protein YhgH required for utilization of DNA as sole source of carbon and energy"											
WCP94_001192	896	716	169	1731	1452	240	250	1420	179	96	608	196	297	834	617	#N/A	#N/A	hypothetical protein											
WCP94_001193	252	274	108	1037	636	100	83	520	82	61	269	81	94	211	174	#N/A	#N/A	putative acetyltransferase											
WCP94_001194	6381	3653	574	3333	2902	2276	1391	1741	1093	713	5731	1365	5878	11508	9802	#N/A	#N/A	hypothetical protein											
WCP94_001195	9	13	3	48	28	4	3	7	0	5	13	2	12	16	20	#N/A	#N/A	#N/A											
WCP94_001196	247	275	43	547	446	162	90	244	49	92	175	88	293	740	576	#N/A	#N/A	Sulfur carrier protein ThiS adenylyltransferase (EC 2.7.7.73)											
WCP94_001197	662	663	87	844	791	264	217	514	125	187	376	173	839	1836	1367	#N/A	#N/A	2-iminoacetate synthase (ThiH) (EC 4.1.99.19)											
WCP94_001198	728	381	71	638	597	362	141	450	96	130	324	131	1012	2309	1812	#N/A	#N/A	Thiazole synthase (EC 2.8.1.10)											
WCP94_001199	128	149	22	193	113	57	54	138	19	21	77	23	259	512	455	#N/A	#N/A	Sulfur carrier protein ThiS											
WCP94_001200	2301	1019	207	823	1063	472	417	601	187	132	819	228	1563	2969	2634	#N/A	#N/A	Nitroreductase family protein											
WCP94_001201	290	273	61	487	329	78	45	237	42	44	167	75	883	1595	1569	"Stress Response, Defense and Virulence"	Cluster containing Glutathione synthetase	Putative pre-16S rRNA nuclease YqgF											
WCP94_001202	1081	1254	257	2050	2004	356	323	1053	233	207	809	372	588	1163	1068	"Fatty Acids, Lipids, and Isoprenoids"	Fatty Acid Biosynthesis cluster	Murein endolytic transglycosylase MltG											
WCP94_001203	425	608	109	1088	919	81	160	514	140	128	296	177	270	440	420	#N/A	#N/A	Multidrug efflux transporter MdtK/NorM (MATE family)											
WCP94_001204	10872	5985	1082	4662	4108	2222	1552	2439	1563	929	2937	1541	3588	8242	6636	#N/A	#N/A	Carbon starvation protein A											
WCP94_001205	247022	175417	33236	189192	133719	68435	44122	76110	51227	26531	93762	21910	62891	138453	113648	#N/A	#N/A	hypothetical protein											
WCP94_001206	1352	1580	184	2361	1471	370	400	675	403	245	877	355	1453	3106	2637	Protein Synthesis	Universal GTPases	Signal recognition particle receptor FtsY											
WCP94_001207	27	21	4	42	28	0	17	14	4	4	13	4	4	8	6	#N/A	#N/A	#N/A											
WCP94_001208	37	57	9	101	38	8	8	48	15	2	18	4	16	41	40	#N/A	#N/A	#N/A											
WCP94_001209	2372	1813	352	4680	2756	741	846	1809	582	504	1403	699	2177	4127	3625	#N/A	#N/A	Adenine deaminase (EC 3.5.4.2)											
WCP94_001210	914	448	156	1332	763	334	258	789	168	120	443	122	388	959	623	#N/A	#N/A	Thiamin-phosphate pyrophosphorylase (EC 2.5.1.3)											
WCP94_001211	1264	1117	204	2928	2124	470	371	1502	210	163	890	250	21409	42661	36313	#N/A	#N/A	#N/A											
WCP94_001212	186	232	159	2660	999	34	152	593	81	149	240	129	178	222	245	#N/A	#N/A	hypothetical protein											
WCP94_001213	202	901	156	1209	808	12	41	471	81	70	88	27	218	329	293	#N/A	#N/A	#N/A											
WCP94_001214	90	37	3	27	30	26	18	32	7	17	71	7	243	509	468	#N/A	#N/A	#N/A											
